224731,5057288,982926,pv,1512053774
715789,4438719,982926,pv,1511619861
450838,1231513,3002561,pv,1512150583
55268,3630315,982926,pv,1511988541
584566,736074,4217906,pv,1512130645
816716,4164520,4756105,pv,1511834312
206245,1319140,4801426,cart,1512135676
868947,2626579,4181361,pv,1512291471
408133,4079700,2520377,pv,1511589600
398450,3623351,2885642,pv,1511615411
823549,157599,4801426,pv,1511924855
527456,1934833,5071267,pv,1511887265
649916,5102535,3112817,pv,1511770675
357954,3698167,2355072,pv,1512222174
352013,4189159,3002561,pv,1512283227
364710,2797546,1723409,pv,1511755328
1007605,612964,3720767,pv,1511836290
924476,3300938,4801426,pv,1511993380
252125,3600434,3975787,pv,1512184831
449991,1043280,4321796,pv,1512282565
981531,4513955,996449,pv,1512110717
721244,874789,4643350,pv,1511849261
491662,4671777,1820842,pv,1512299891
775881,1731758,2352202,pv,1511868776
901214,2719904,3738615,pv,1511783091
716704,3634571,3002561,pv,1511945607
482919,4128174,3457718,pv,1511694464
276150,4311774,1653613,pv,1512183729
51253,2702557,1909440,pv,1511933459
690875,1186765,754344,pv,1512303817
921043,3746862,2640118,pv,1511856393
372436,1927569,3299155,pv,1511989720
359148,4844276,1273811,pv,1511613743
470739,1862131,4022701,pv,1512218808
209517,3858104,4145813,pv,1512055483
863301,215787,2520377,pv,1512121252
997653,1060895,4145813,pv,1512219637
765314,1792722,4145813,pv,1512119372
943181,3451310,627715,pv,1511970958
55142,4545398,1970375,pv,1511702491
509372,1789086,4756105,pv,1512052315
390947,4981591,4145813,pv,1512304365
774979,2405360,982926,pv,1512180024
309762,1599704,2293367,pv,1511540828
891301,288348,3004853,pv,1511940759
926701,949548,3679920,pv,1512304668
540095,1523499,411153,pv,1512213363
341462,2942275,149192,pv,1511845563
352148,2515084,2355072,pv,1511932330
691121,1742428,4239903,pv,1511786713
539126,2605728,2885642,pv,1511704020
323361,290603,4801426,pv,1511595488
553012,739518,982926,pv,1511618436
458842,5067429,2735466,pv,1511767236
550542,139351,4170419,pv,1511704387
320582,3520454,2578647,pv,1511757604
38468,3546045,4145813,pv,1512236646
568935,2289122,2612027,pv,1511686858
952547,1573080,3004853,pv,1512046104
699408,1220986,4145813,pv,1512235713
241516,3974244,4606718,pv,1511959563
517395,1969989,3805065,pv,1512008391
1000040,2243461,4145813,pv,1511691722
470435,1156383,2590256,pv,1512098759
261143,2796028,2520377,pv,1512114880
141055,4766074,4244487,pv,1512179817
999090,3077132,1575622,cart,1511863065
758678,360289,3607361,pv,1512225400
320176,4765060,149192,pv,1511704480
862077,4361086,2640118,pv,1511610405
77441,2015085,4801426,pv,1511706595
896651,3720358,3669044,pv,1511825553
674825,1509254,4756105,buy,1511572674
50093,4886721,4756105,pv,1511972115
277995,4940112,2465336,pv,1512032104
222499,4217716,3607361,pv,1511593937
584552,13771,2520377,pv,1512174662
